date,LR FP Equity,2061Q FP Equity,FR FP Equity,ALO FP Equity,DSY FP Equity,SW FP Equity,CO FP Equity,TFI FP Equity,HO FP Equity,PUB FP Equity,VANTI FP Equity,AF FP Equity,EDEN FP Equity,DEXB BB Equity,MMB FP Equity,SEV FP Equity,SEV FP Equity.1,UG FP Equity,ALU FP Equity,STMPA FP Equity,VK FP Equity,GTO NA Equity,EDF FP Equity,ALO FP Equity.1,LI FP Equity,NOKIA FP Equity,SOLB BB Equity,WLN FP Equity,FR FP Equity.1,SW FP Equity.1,AC FP Equity,ATO FP Equity,VIV FP Equity,WLN FP Equity.1
11/27/2014,374562.0,,545196,1054673,591170,134872,227895,207445,261295.0,272825,14050.0,790125.0,176163.0,2596.0,120878.0,948623.0,948623.0,2999767.0,20776621.0,694705,252384,271793.0,932874.0,1054673,293449,,127588,33637.0,545196,134872,640088,134709,3349495,33637.0
11/28/2014,426229.0,,681111,1185190,913165,178150,296101,277027,165519.0,668472,19806.0,2302654.0,341549.0,1590.0,370483.0,1338797.0,1338797.0,3576521.0,17610056.0,1010724,278708,323268.0,1400178.0,1185190,460066,,260700,5947.0,681111,178150,782338,251322,4731714,5947.0
12/1/2014,930248.0,,990588,1791859,786560,152606,277054,229578,275216.0,554592,18658.0,787022.0,338260.0,881.0,354815.0,731370.0,731370.0,3125244.0,13076658.0,890711,307984,381762.0,1738353.0,1791859,516660,,236365,15630.0,990588,152606,589844,130357,3822007,15630.0
12/2/2014,849975.0,,916491,1367589,2763715,174428,231691,207484,526039.0,494000,13513.0,524007.0,920545.0,412.0,309336.0,1079728.0,1079728.0,3266133.0,19671716.0,1052636,212577,394695.0,1670979.0,1367589,761184,,218834,7272.0,916491,174428,517789,259485,3874288,7272.0
12/3/2014,577458.0,,807303,948397,1212605,254015,214023,328329,365001.0,580770,32948.0,511575.0,888390.0,586.0,271679.0,1380892.0,1380892.0,3650752.0,14441942.0,2129482,130258,606054.0,1541260.0,948397,421272,,235318,2807.0,807303,254015,562080,305074,2225210,2807.0
12/4/2014,654971.0,,968787,1866758,1581460,221638,364423,422172,353132.0,1434109,15610.0,628955.0,1135272.0,483.0,278224.0,1404648.0,1404648.0,7215923.0,22167607.0,1464282,147318,515923.0,2310129.0,1866758,485671,,240817,5908.0,968787,221638,952612,391810,5499156,5908.0
12/5/2014,545008.0,,860901,1804545,1602235,218039,178705,342281,490610.0,945274,20133.0,937084.0,579498.0,2700.0,172543.0,1660021.0,1660021.0,4524899.0,17180323.0,2214852,112240,591539.0,1340644.0,1804545,228498,,310372,65293.0,860901,218039,651550,422398,4927983,65293.0
12/8/2014,386410.0,,491829,761246,1586695,194446,269827,182051,421999.0,496725,11225.0,696652.0,417467.0,1376.0,216909.0,1253661.0,1253661.0,2734704.0,8480314.0,893239,184215,381132.0,1469743.0,761246,196385,,154825,8435.0,491829,194446,584456,207899,1952382,8435.0
12/9/2014,656244.0,,992259,2220695,1509840,309734,257782,569148,288594.0,774561,15256.0,1092787.0,1555531.0,875.0,404610.0,1958333.0,1958333.0,3918529.0,23898555.0,2030598,237348,470333.0,1943149.0,2220695,279159,,277470,5784.0,992259,309734,742932,284796,6216365,5784.0
12/10/2014,442930.0,,989781,1592394,1646610,222101,302157,445787,356672.0,581162,21590.0,810539.0,569468.0,665.0,295662.0,1075775.0,1075775.0,3283900.0,18344178.0,1071749,160555,350113.0,1511410.0,1592394,327898,,279070,10986.0,989781,222101,583658,388277,2942164,10986.0
12/11/2014,550290.0,,897387,1688286,1309040,192100,269875,469333,467493.0,596929,19108.0,619721.0,588347.0,1727.0,237103.0,853213.0,853213.0,4439168.0,28703456.0,1532009,115822,447880.0,1933605.0,1688286,334938,,274351,14329.0,897387,192100,719383,198434,3532607,14329.0
12/12/2014,702754.0,,932175,1744312,1000560,237977,236774,371129,285174.0,808090,20578.0,556370.0,998240.0,1234.0,358623.0,1677653.0,1677653.0,3476093.0,15651263.0,2028855,160930,360005.0,1948859.0,1744312,637064,,394509,39594.0,932175,237977,740920,190232,5485032,39594.0
12/15/2014,632399.0,,1114983,1883144,1016400,214459,254611,449416,255733.0,727876,26593.0,608904.0,618906.0,1408.0,311604.0,1368244.0,1368244.0,4362541.0,20865847.0,2286948,141804,340627.0,2163643.0,1883144,363619,,301505,9816.0,1114983,214459,743739,332073,6382301,9816.0
12/16/2014,1655102.0,,1877397,3017323,1907415,226299,429410,794865,418823.0,1053702,56138.0,867683.0,1078261.0,675.0,557857.0,1946642.0,1946642.0,6511984.0,33257394.0,3038185,182436,773377.0,2974977.0,3017323,396317,,296096,21622.0,1877397,226299,1244610,447270,12690823,21622.0
12/17/2014,877362.0,,1162020,2241565,1816105,200349,231499,315751,327749.0,635311,46736.0,668633.0,596652.0,695.0,293884.0,1189071.0,1189071.0,3322414.0,23076134.0,1964836,156475,592479.0,1661978.0,2241565,413469,,264898,16780.0,1162020,200349,627041,239677,4781663,16780.0
12/18/2014,1168708.0,,1354356,2354200,1907455,232576,316592,396930,267960.0,921446,33381.0,771256.0,756972.0,762.0,399274.0,1866036.0,1866036.0,3507021.0,62430627.0,2662183,131611,457822.0,2709961.0,2354200,369664,,474919,44564.0,1354356,232576,675240,290115,6833238,44564.0
12/19/2014,1033080.0,,1189350,4656875,2150290,276819,549585,588904,749874.0,1072658,21883.0,1779474.0,706370.0,1041.0,463283.0,3149851.0,3149851.0,4948934.0,33451102.0,2369495,131656,569087.0,2932833.0,4656875,778592,,422959,22735.0,1189350,276819,934351,1227017,8791866,22735.0
12/22/2014,264184.0,,412818,1593388,780930,191302,178397,275734,329888.0,431407,12840.0,718027.0,334534.0,1414.0,206508.0,658751.0,658751.0,2657849.0,19717193.0,690658,73099,226863.0,876606.0,1593388,130566,,179995,7539.0,412818,191302,433151,433973,3821146,7539.0
12/23/2014,310686.0,,515628,1086986,694605,118806,139154,197134,342344.0,463496,15007.0,663717.0,418144.0,1997.0,171389.0,853860.0,853860.0,1781274.0,18125308.0,1027800,77194,332413.0,1605832.0,1086986,246274,,175741,16367.0,515628,118806,376225,411193,3507740,16367.0
12/24/2014,46844.0,,69858,256860,187550,16474,18276,67940,69918.0,66227,4846.0,272294.0,96565.0,364.0,46149.0,321469.0,321469.0,310706.0,2562999.0,186496,28376,43352.0,129279.0,256860,55064,,24757,1419.0,69858,16474,67444,73049,797850,1419.0
12/29/2014,425011.0,,660525,707767,932650,85637,119268,192740,203330.0,374059,34575.0,424315.0,292406.0,5603.0,313231.0,706738.0,706738.0,1578524.0,13559924.0,1124315,63603,217083.0,1056327.0,707767,308973,,206173,5735.0,660525,85637,560227,266196,3668598,5735.0
