,date,LR FP Equity,2061Q FP Equity,FR FP Equity,ALO FP Equity,DSY FP Equity,SW FP Equity,CO FP Equity,TFI FP Equity,HO FP Equity,PUB FP Equity,VANTI FP Equity,AF FP Equity,EDEN FP Equity,DEXB BB Equity,MMB FP Equity,SEV FP Equity,SEV FP Equity.1,UG FP Equity,ALU FP Equity,STMPA FP Equity,VK FP Equity,GTO NA Equity,EDF FP Equity,ALO FP Equity.1,LI FP Equity,NOKIA FP Equity,SOLB BB Equity,WLN FP Equity,FR FP Equity.1,SW FP Equity.1,AC FP Equity,ATO FP Equity,VIV FP Equity,WLN FP Equity.1,MSCI FRANCE,,,
3508,11/1/2012,30.3,,11.5267,24.8319,8.2,44.2024,67.2,6.759,27.3,41.77,15.7791,32.6162,22.765,180,21.16,8.144,8.144,4.1307,0.7819,4.67,263.966,68.47,14.6812,24.8319,28.705,,15.6578,,11.5267,44.2024,24.455,39.4801,4.6052,,97.29,,,
3509,11/2/2012,30.395,,11.59,25.1425,8.256,44.4153,67.18,6.814,27.195,41.32,15.8824,34.3461,22.875,180,21.3,8.269,8.269,3.9677,0.7392,4.663,263.4678,69.76,14.5837,25.1425,29.275,,15.8933,,11.59,44.4153,24.7,39.654,4.6168,,97.76,,,
3510,11/5/2012,30.225,,11.4333,25.1101,8.188,44.1804,67.29,6.72,27.15,41.09,15.7235,35.148,22.65,180,21.18,8.05,8.05,3.9768,0.7478,4.587,260.2295,69.53,14.4063,25.1101,29.025,,15.7396,,11.4333,44.1804,24.445,39.3288,4.5136,,96.6,,,
3511,11/6/2012,30.535,,11.575,25.5922,8.234,44.4666,67.8,6.759,27.415,41.4,15.7314,37.0141,23.005,180,21.495,8.15,8.15,3.9777,0.7572,4.716,262.7205,69.82,14.4063,25.5922,29.05,,16.0536,,11.575,44.4666,24.765,39.9111,4.5078,,97.4,,,
3512,11/7/2012,30.425,,11.6,25.9446,8.189,44.2832,67.09,6.676,27.27,41.035,15.5486,36.071,22.895,180,21.2,8.148,8.148,3.9322,0.7525,4.385,262.2638,69.3,14.0739,25.9446,28.475,,15.6712,,11.6,44.2832,24.48,39.5027,4.374,,95.61,,,
3513,11/8/2012,29.385,,11.0433,26.6029,8.15,44.3419,67.37,6.628,26.625,40.775,15.0716,35.0371,23,190,21,7.995,7.995,3.6857,0.8398,4.381,273.8471,69.78,13.839,26.6029,28.425,,15.6144,,11.0433,44.3419,24.06,38.9885,4.3784,,95.52,,,
3514,11/9/2012,29.025,,10.9667,26.1996,8.15,44.4079,67.3,6.55,26.73,41.085,14.9444,35.3498,22.9,180,21.04,8.05,8.05,3.6584,0.8578,4.375,283.8942,69.8,13.7281,26.1996,28.05,,15.6979,,10.9667,44.4079,24.275,39.4347,4.3624,,95.92,,,
3515,11/12/2012,28.925,,10.89,25.6293,8.11,44.5694,66.96,6.721,26.765,41.8,14.865,36.4139,22.895,160,21,8.071,8.071,3.7916,0.8502,4.314,283.6036,69.08,13.6705,25.6293,28.22,,15.6528,,10.89,44.5694,24.125,39.3969,4.3028,,95.62,,,
3516,11/13/2012,29,,10.8867,25.7221,8.233,44.6208,68.37,6.755,26.52,41.88,14.9683,36.6056,23,160,21.305,8.036,8.036,3.6981,0.8284,4.388,282.3581,71.53,13.4976,25.7221,28.17,,15.6494,,10.8867,44.6208,24.195,40.4858,4.358,,96.14,,,
3517,11/14/2012,28.835,,10.55,25.2677,8.183,44.6061,67.73,7.411,26.265,42.025,14.8809,36.1113,23.155,150,21.65,8.223,8.223,3.6807,0.8303,4.431,283.6036,71.3,12.8549,25.2677,27.985,,15.5208,,10.55,44.6061,23.965,40.327,4.5616,,95.37,,,
