date,TFI FP Equity,AIR FP Equity,VANTI FP Equity,VIV FP Equity,DSY FP Equity,ORA FP Equity,VIE FP Equity,DG FP Equity,RI FP Equity,LOR FP Equity,PUB FP Equity,EL FP Equity,ENGI FP Equity,EDF FP Equity,ALO FP Equity,VK FP Equity,AF FP Equity,MTP FP Equity,SEV FP Equity,TE FP Equity,EDEN FP Equity,KN FP Equity,PUB FP Equity.1,SAF FP Equity,LR FP Equity,SOLB BB Equity,GTO NA Equity,ALU FP Equity,FR FP Equity,UG FP Equity,LI FP Equity,NOKIA FP Equity,SW FP Equity,ATO FP Equity,STMPA FP Equity,RMS FP Equity,DSY FP Equity.1,WLN FP Equity,HO FP Equity
4/1/1999,346300,,4912735.0,505100,1831793,,292169.0,394981,,18250.0,558320,,,37098.0,22112,42711.0,,,,,36100.0,18250,115238,,53949.0,,3056382.0,506958,1058643.0,16109,,156198.0,32673,887490,54645,505100,,117397.0,
4/2/1999,346300,,4912735.0,505100,1831793,,292169.0,394981,,18250.0,558320,,,37098.0,22112,42711.0,,,,,36100.0,18250,115238,,53949.0,,3056382.0,506958,1058643.0,16109,,156198.0,32673,887490,54645,505100,,117397.0,
4/6/1999,181140,,4058188.0,1823030,2568310,,349350.0,946144,,40070.0,343340,,,45467.0,27563,47803.0,,,,,56149.0,40070,121170,,101199.0,,4642375.0,812142,1830041.0,29822,,196817.0,33964,3408378,37221,1823030,,269317.0,
4/7/1999,105480,,3959268.0,1734310,2990860,,139483.0,450253,,247780.0,434460,,,40673.0,118635,132986.0,,,,,66941.0,247780,64995,,160854.0,,3512139.0,639849,1807224.0,49420,,387320.0,43892,2459004,34635,1734310,,158931.0,
4/8/1999,81450,,4019525.0,3575520,2252407,,168429.0,325271,,89950.0,319700,,,24176.0,28117,87876.0,,,,,45326.0,89950,244125,,140947.0,,3895920.0,686055,1247164.0,69480,,363207.0,33073,3395190,29469,3575520,,161142.0,
4/9/1999,642100,,5725612.0,1577610,2163799,,179006.0,598146,,332320.0,245560,,,47950.0,57780,71060.0,,,,,53018.0,332320,352958,,80303.0,,6251230.0,759981,2611763.0,27120,,486931.0,55904,4475076,63207,1577610,,290275.0,
4/12/1999,124660,,3042366.0,824490,1952095,,60204.0,601663,,38800.0,116020,,,12759.0,51750,31461.0,,,,,12403.0,38800,77070,,39894.0,,2787615.0,382029,1420607.0,9716,,342918.0,24481,4091400,13956,824490,,227839.0,
4/13/1999,185580,,7816227.0,1307700,1974470,,106796.0,708186,,33670.0,202300,,,37281.0,169590,67964.0,,,,,49947.0,33670,129990,,47147.0,,5096425.0,1209987,2631571.0,18867,,150455.0,49084,2398080,42213,1307700,,343304.0,
4/14/1999,566240,,10044303.0,376030,2104635,,193514.0,785780,,35480.0,186260,,,13934.0,61477,45592.0,,,,,126677.0,35480,114293,,46933.0,,2927821.0,1401003,1040656.0,46422,,507404.0,29351,2710242,15366,376030,,239308.0,
4/15/1999,107090,,15235164.0,1372100,1136088,,101813.0,314000,,66510.0,95280,,,91938.0,243841,90519.0,,,,,75878.0,66510,60533,,198742.0,,3587603.0,1380348,3035071.0,167395,,349548.0,110052,3491022,19791,1372100,,189138.0,
4/16/1999,197670,,6292571.0,1091440,2965372,,362925.0,1351955,,181050.0,183400,,,103768.0,58016,119177.0,,,,,77079.0,181050,490298,,215814.0,,11793327.0,923757,4340080.0,53306,,348800.0,166132,1818546,20064,1091440,,478101.0,
4/19/1999,444730,,6360614.0,1542750,3096283,,352703.0,286767,,175030.0,191780,,,37107.0,187497,47201.0,,,,,40842.0,175030,194093,,64302.0,,5907236.0,849441,2301169.0,16248,,185355.0,168748,4978362,32847,1542750,,501661.0,
4/20/1999,447870,,5592004.0,3798230,2012145,,411945.0,694355,,61130.0,173000,,,128386.0,144915,33887.0,,,,,35644.0,61130,114923,,55955.0,,6343793.0,1858533,1802744.0,160853,,107013.0,198732,5183802,43734,3798230,,715863.0,
4/21/1999,255780,,5124457.0,2544740,1779906,,196423.0,554213,,196360.0,300400,,,78504.0,49351,28653.0,,,,,94985.0,196360,223545,,84368.0,,3167971.0,534177,1747385.0,93214,,164846.0,175769,2465454,33753,2544740,,266802.0,
4/22/1999,619290,,10385957.0,2045820,4211912,,738570.0,662255,,56330.0,491180,,,88227.0,31608,36310.0,,,,,77414.0,56330,117758,,61448.0,,6362114.0,1802193,1836151.0,58358,,534927.0,154893,4540500,109596,2045820,,977376.0,
4/23/1999,258730,,8787050.0,1434960,3025153,,154170.0,1402869,,41770.0,505220,,,48622.0,58293,58898.0,,,,,104378.0,41770,86258,,56317.0,,4999183.0,508773,1382437.0,84822,,199534.0,125675,2225742,28047,1434960,,377774.0,
4/26/1999,86710,,4559329.0,1321820,1369154,,201687.0,7285489,,137260.0,425100,,,50864.0,49043,53241.0,,,,,67138.0,137260,234728,,107200.0,,3225773.0,189867,743286.0,104577,,164429.0,76352,1783542,21423,1321820,,223354.0,
4/27/1999,143760,,6343291.0,915200,2020566,,115514.0,1968594,,208500.0,746920,,,152730.0,27681,53241.0,,,,,150146.0,208500,748703,,50480.0,,4765061.0,269745,1536479.0,141441,,237665.0,104318,3076440,65673,915200,,370636.0,
4/28/1999,94910,,7047068.0,484550,1317959,,713208.0,437583,,117640.0,234200,,,42225.0,115355,38191.0,,,,,53534.0,117640,264758,,31882.0,,2680241.0,215745,2752913.0,62606,,97986.0,99965,1449258,63060,484550,,170320.0,
4/29/1999,503530,,4025700.0,938800,975657,,252760.0,314104,,30950.0,321100,,,24258.0,52061,68121.0,,,,,45098.0,30950,177713,,33829.0,,8253162.0,384870,905732.0,58756,,125852.0,71181,2202162,18216,938800,,297707.0,
4/30/1999,98310,,4233785.0,1052400,1239307,,481312.0,300377,,106980.0,228880,,,50195.0,87571,80905.0,,,,,90242.0,106980,635513,,65117.0,,6129134.0,502590,933337.0,78696,,146239.0,59569,1559886,26313,1052400,,224666.0,
5/3/1999,67460,,2618189.0,606860,1091128,,239124.0,473869,,21220.0,185000,,,18179.0,61685,40549.0,,,,,170255.0,21220,409133,,25383.0,,2261441.0,291492,575787.0,112192,,108271.0,61727,770820,48909,606860,,238326.0,
5/4/1999,178520,,4851029.0,897350,2722663,,840660.0,1399745,,282020.0,631660,,,35696.0,165955,70912.0,,,,,67534.0,282020,364560,,91554.0,,3220915.0,677988,1708592.0,196339,,338253.0,234548,2005398,41976,897350,,241289.0,
5/5/1999,451690,,5370586.0,1030930,1167349,,365891.0,725878,,115820.0,330020,,,52121.0,52795,43839.0,,,,,44840.0,115820,290063,,62626.0,,2030517.0,765183,908358.0,172882,,253269.0,86520,1672968,149475,1030930,,182317.0,
5/6/1999,772600,,49030700.0,1407810,1373345,,1025671.0,594324,,105180.0,490040,,,89395.0,60222,21363.0,,,,,68628.0,105180,103215,,102202.0,,3412811.0,520953,1493197.0,47495,,195584.0,63010,2917068,65280,1407810,,232154.0,
5/7/1999,496140,,3870580.0,1287570,1920028,,370646.0,315882,,108930.0,168880,,,17671.0,40022,18664.0,,,,,109090.0,108930,147210,,74036.0,,3711459.0,482475,1942672.0,131596,,128712.0,59322,1451586,22227,1287570,,147009.0,
5/10/1999,187950,,4353464.0,816970,1401761,,74642.0,330041,,94330.0,460180,,,20629.0,18624,17460.0,,,,,39201.0,94330,59115,,83229.0,,4133194.0,280530,781547.0,32117,,206184.0,16226,1490766,59094,816970,,148389.0,
5/11/1999,361390,,12104736.0,1340930,1224695,,575865.0,377828,,82960.0,182340,,,16459.0,13827,24807.0,,,,,46786.0,82960,252053,,30376.0,,3360684.0,433911,965222.0,88282,,187627.0,27293,1584456,172023,1340930,,279920.0,
5/12/1999,288920,,11846540.0,922940,4244887,,524730.0,241614,,151520.0,255880,,,21097.0,23764,33676.0,,,,,79876.0,151520,75810,,51144.0,,2487106.0,488208,603566.0,87709,,150243.0,31960,4038396,364692,922940,,176724.0,
