date,TFI FP Equity,AIR FP Equity,VANTI FP Equity,VIV FP Equity,DSY FP Equity,ORA FP Equity,VIE FP Equity,DG FP Equity,RI FP Equity,LOR FP Equity,PUB FP Equity,EL FP Equity,ENGI FP Equity,EDF FP Equity,ALO FP Equity,VK FP Equity,AF FP Equity,MTP FP Equity,SEV FP Equity,TE FP Equity,EDEN FP Equity,KN FP Equity,PUB FP Equity.1,SAF FP Equity,LR FP Equity,SOLB BB Equity,GTO NA Equity,ALU FP Equity,FR FP Equity,UG FP Equity,LI FP Equity,NOKIA FP Equity,SW FP Equity,ATO FP Equity,STMPA FP Equity,RMS FP Equity,DSY FP Equity.1,WLN FP Equity,HO FP Equity,WLN FP Equity.1,TEP FP Equity,ALO FP Equity.1,STLAP FP Equity,ERF FP Equity,EDEN FP Equity.1,VIV FP Equity.1,MSCI FRANCE
7/27/2020,0.013547841,0.031169251,-0.015823606,-0.008045287,0.004020101,0.004333173,0.015800603,-0.00456621,0.005549775,,-0.004806042,0.010893246,0.030470914,0.013813028,0.005117404,-0.007257221,-0.007663859,,0.014684288,,-0.004163775,-0.001392758,-0.004806042,0.039098436,-0.004824064,0.013094981,,,0.011533533,0.024152969,0.026401565,-0.009606278,0.007272993,0.014638113,-0.05317521,-0.021936865,0.004020101,-0.011096076,-0.002463054,-0.011096076,-0.002508361,0.005117404,,-0.027497389,-0.004163775,-0.008045287,-0.001745444
7/28/2020,0.04845447,-0.026155051,0.053900896,0.011723838,0.021688355,0.003835091,0.016559204,0.014271152,0.026560883,,-0.004139358,0.011206897,0.005376344,0.005966428,-0.0101827,-0.050176846,-0.002929796,,0.013024602,,0.003252033,-0.019990702,-0.004139358,0.003762727,0.011690904,-0.050295671,,,-0.006334459,-0.030461841,-0.012384884,0.00068306,0.020623917,0.011755277,-0.007676768,0.006564551,0.021688355,-0.004926108,-0.009876543,-0.004926108,-0.005867561,-0.0101827,,0.011095204,0.003252033,0.011723838,0.005805008
7/29/2020,0.005976096,0.018655516,0.036263599,-0.019160025,-0.005225343,-0.049092646,-0.035783578,-0.024623116,-0.004032258,,-0.023900242,-0.016624041,-0.032531194,-0.043597574,-0.008847299,-0.055514065,-0.045923824,,-0.017619048,,-0.01366057,-0.037950664,-0.023900242,0.039029768,-0.022547914,-0.021301923,,,-0.044623884,-0.047972973,-0.061093248,-0.006825939,-0.00639993,-0.031951413,-0.036644951,-0.033967391,-0.005225343,-0.02420242,-0.002493766,-0.02420242,0.055227656,-0.008847299,,-0.022654867,-0.01366057,-0.019160025,-0.021208539
7/30/2020,-0.036039604,-0.02099779,-0.019307349,0.017721519,0.011818779,-0.004419446,-0.011521043,-0.062339001,-0.014844804,,-0.033002129,-0.027308192,0.040073699,-0.054204461,-0.019513768,0.059348093,-0.023512242,,0.08434319,,-0.011032864,0.013313609,-0.033002129,-0.050933786,-0.055940023,-0.001513979,,,-0.032918149,-0.031937544,-0.000684932,0.115463918,-0.012203318,-0.012547736,0.006339814,-0.03488045,0.011818779,0.024802706,-0.04125,0.024802706,-0.011985617,-0.019513768,,-0.000724375,-0.011032864,0.017721519,-0.013071895
7/31/2020,0.037387017,0.027737462,0.008982404,0.064277379,0.01330305,0.008878128,-0.003883318,0.03956044,0.027739726,,0.039633028,-0.015151515,0.054030115,0.004685187,0.020749276,0.045459258,-0.034108668,,-0.000894055,,0.016852599,0.010705596,0.039633028,0.002012522,0.017409896,0.009693934,,,0.005059798,0.021627566,-0.06442769,0.057794208,0.010296624,0.011878453,0.031079378,0.006412125,0.01330305,0.021452145,0.014667536,0.021452145,0.03275374,0.020749276,,0.034795216,0.016852599,0.064277379,0.018787792
8/3/2020,0.028712871,0.030597835,-0.001097561,-0.014254797,-0.028178034,0.011,0.002081334,0.001321353,-0.011662779,,0.026826685,0.0,-0.012184874,0.025374406,-0.013898396,-0.033040805,0.051928338,,-0.005369128,,-0.009337068,0.078478575,0.026826685,0.029680875,0.001501051,0.02248357,,,0.019221968,0.034086832,0.071794872,0.011416589,0.016983826,0.000546001,0.004480652,-0.004344049,-0.028178034,-0.01992461,0.032765821,-0.01992461,-0.007047768,-0.013898396,,-0.021716287,-0.009337068,-0.014254797,0.002190348
8/4/2020,0.0,0.034866017,0.031009645,0.000848921,-0.000329489,-0.012858556,-0.002077011,0.035893376,-0.01146325,,0.011000344,-0.001809955,0.002552105,0.001365569,0.006100037,0.061960969,0.068269656,,0.001349528,,0.010131951,0.068303571,0.011000344,0.050281751,0.025179856,0.04428364,,,0.014818141,0.019777932,-0.002392344,-0.020387008,0.031730139,0.013915416,-0.00892133,0.006399069,-0.000329489,0.007692308,0.026438569,0.007692308,0.024842271,0.006100037,,0.027210884,0.010131951,0.000848921,0.009376763
8/5/2020,0.001924928,0.005296454,0.032563647,-0.000848201,-0.008569545,-0.024248497,-0.000776456,-0.001528662,-0.014324693,,-0.006800408,-0.013145966,-0.015697921,-0.011336551,-0.012126104,-0.033006615,0.01874375,,-0.00853549,,0.006531374,-0.000835771,-0.006800408,0.016714816,0.008187135,-0.025552492,,,0.001769912,-0.019394352,-0.045563549,-0.016931217,-0.009713277,0.003498385,-0.002454992,-0.008092486,-0.008569545,-0.014994547,-0.003939394,-0.014994547,-0.006156214,-0.012126104,,0.173928198,0.006531374,-0.000848201,-0.008172103
8/6/2020,0.010566763,0.014195814,0.006995413,-0.003410322,0.011635638,-0.003491477,0.009885923,0.001020669,-0.003460208,,-0.008901061,0.00413413,0.002155172,0.000911566,0.001693569,-0.024486454,-0.003366277,,0.009515179,,0.009733488,0.015474697,-0.008901061,-0.008321494,0.010730858,-0.005481274,,,0.004858657,-0.001387925,0.019741565,0.007893793,0.001962156,-0.012335747,0.004922067,0.009324009,0.011635638,0.008303349,-0.002129601,0.008303349,0.008130081,0.001693569,,-0.020486936,0.009733488,-0.003410322,0.001338028
8/7/2020,0.002851711,0.03982684,-0.101582963,-0.002996079,-0.01183043,0.010305029,0.015196691,0.021412185,-0.001041667,,0.03074266,-0.004574565,0.013763441,0.008711908,-0.011408845,0.050908533,0.058776209,,0.039497307,,-0.001377094,0.019357496,0.03074266,0.031006959,-0.00286944,0.029563076,,,0.019340659,0.024322446,0.04188666,-0.009137297,0.008482319,-0.008960087,-0.013061224,-0.013568129,-0.01183043,-0.017842438,0.019512195,-0.017842438,-0.001152074,-0.011408845,,-0.009699909,-0.001377094,-0.002996079,0.004290034
