,date,TFI FP Equity,AIR FP Equity,VANTI FP Equity,VIV FP Equity,DSY FP Equity,ORA FP Equity,VIE FP Equity,DG FP Equity,RI FP Equity,LOR FP Equity,PUB FP Equity,EL FP Equity,ENGI FP Equity,EDF FP Equity,ALO FP Equity,VK FP Equity,AF FP Equity,MTP FP Equity,SEV FP Equity,TE FP Equity,EDEN FP Equity,KN FP Equity,PUB FP Equity.1,SAF FP Equity,LR FP Equity,SOLB BB Equity,GTO NA Equity,ALU FP Equity,FR FP Equity,UG FP Equity,LI FP Equity,NOKIA FP Equity,SW FP Equity,ATO FP Equity,STMPA FP Equity,RMS FP Equity,DSY FP Equity.1,WLN FP Equity,HO FP Equity,WLN FP Equity.1,TEP FP Equity,ALO FP Equity.1,STLAP FP Equity,ERF FP Equity,EDEN FP Equity.1,VIV FP Equity.1,MSCI FRANCE,,,
639,8/6/2001,36.05,22.64,2379.0565,18.9631,4.852,45.3395,46.7904,17.8933,25.7212,,29.15,16.965,,,281.4713,43.6077,96.5826,,,,,6.6776,29.15,9.9429,,10.1546,,19.8705,16.9833,38.654,11.3261,,42.6759,69.3793,37.7,56.333,4.852,,42.76,,23.3,281.4713,,1.19,,18.9631,131.06,,,
640,8/7/2001,36.89,21.5,2362.8044,18.6958,4.989,44.9943,46.4154,17.8688,26.1373,,29.2,16.55,,,274.2476,42.4601,95.0696,,,,,6.6776,29.2,9.9429,,10.1964,,19.5479,17,38.6901,11.2396,,42.7126,68.3585,38,54.967,4.989,,43.45,,23.12,274.2476,,1.099,,18.6958,130.81,,,
641,8/8/2001,36.35,21.1,2260.2912,18.541,4.817,42.7425,46.2747,17.7583,26.3993,,29.5,16.75,,,280.3665,41.3126,97.2887,,,,,6.6447,29.5,9.8314,,10.2214,,18.7413,17.0333,38.7622,11.2396,,42.5659,68.056,36.66,55.133,4.817,,42,,23.09,280.3665,,1.032,,18.541,129.15,,,
642,8/9/2001,35.6,21.25,2148.4018,18.0627,4.58,40.9479,45.9465,17.427,27.0311,,28.32,16.95,,,272.8028,40.3781,96.0783,,,,,6.6974,28.32,9.4714,,10.188,,17.3179,17.3333,38.0404,11.2396,,43.4465,65.8631,35.93,55,4.58,,41.07,,21.43,272.8028,,0.946,,18.0627,126.72,,,
643,8/10/2001,35,21.5,2110.2719,17.6688,4.595,38.8427,44.0618,17.6356,26.5071,,26.88,16.745,,,273.3127,40.8863,96.8348,,,,,6.6711,26.88,9.1371,,10.3383,,16.9668,17.1167,38.2931,11.3477,,42.7126,66.3924,35.39,55.733,4.595,,42.8,,22.47,273.3127,,0.968,,17.6688,125.6,,,
644,8/13/2001,33.56,20.32,2174.6552,18.0487,4.765,39.0843,44.4369,17.5988,27.0465,,26.52,17,,,273.2278,42.87,95.8261,,,,,6.6776,26.52,9.3514,,10.2715,,17.4318,17.5667,39.2314,11.164,,42.2723,66.5059,36.88,54.033,4.765,,44.19,,22.1,273.2278,,1.037,,18.0487,127.8,,,
645,8/14/2001,34.8,20,2205.2841,18.2878,4.749,39.6882,44.9338,16.9361,26.6304,,28.41,16.7,,,273.5677,42.788,97.5913,,,,,6.704,28.41,9.4886,,10.3467,,17.9727,17.3333,39.5563,11.3261,,42.5659,67.6779,37.29,55.667,4.749,,44.79,,22.37,273.5677,,1.06,,18.2878,128.84,,,
646,8/16/2001,33.7,19.6,2082.7683,17.7673,4.678,36.9704,44.8213,16.212,26.5842,,28.2,16.835,,,271.613,44.1405,95.5739,,,,,6.6974,28.2,9.3,,10.355,,16.5493,17.3333,39.2314,11.2505,,40.8045,64.9557,35.73,55.667,4.678,,44.1,,22.17,271.613,,1.064,,17.7673,127.21,,,
647,8/17/2001,33,19.08,2015.8847,17.1624,4.565,35.288,44.6338,16.3715,26.7229,,27,17.02,,,264.2193,43.8536,94.3131,,,,,6.6776,27,9.3857,,10.1964,,16.1792,16.8333,38.257,11.1316,,40.5109,64.7666,34.79,56.333,4.565,,42.13,,21.47,264.2193,,1.03,,17.1624,124.59,,,
648,8/20/2001,33,19,1954.0017,17.0217,4.578,35.9782,43.6304,16.3224,26.5071,,26.2,16.595,,,260.055,43.0339,91.2366,,,,,6.6776,26.2,9.4286,,10.3383,,16.1887,16.7333,37.3908,11.2396,,40.1807,64.1617,35.13,54.667,4.578,,42.41,,21.57,260.055,,1.08,,17.0217,124.99,,,
649,8/21/2001,33.21,19.8,2037.7625,17.3031,4.677,35.5037,44.962,16.4329,26.7383,,28,16.69,,,257.4205,43.9356,90.7826,,,,,6.6776,28,9.3429,,10.4218,,16.4639,16.5467,37.3547,11.1424,,39.9972,66.2034,35.77,54.833,4.677,,42.94,,21.34,257.4205,,1.03,,17.3031,126.15,,,
650,8/22/2001,33,19.62,2014.0095,16.9514,4.619,34.5978,44.54,16.3224,26.5071,,26.55,16.925,,,257.9304,45.493,92.0939,,,,,6.6711,26.55,9.1714,,10.3884,,16.2361,16.75,38.1126,11.1316,,40.2541,67.1108,35.11,55.333,4.619,,42.4,,21.06,257.9304,,1.016,,16.9514,125.56,,,
651,8/23/2001,32.2,19.71,2029.0114,16.9233,4.667,32.9585,44.9995,16.8624,26.6613,,27.34,16.825,,,257.5055,45.493,93.607,,,,,6.6711,27.34,9.0257,,10.522,,16.7011,17,37.7517,11.11,,40.3275,66.1656,36,55.167,4.667,,42.71,,20.67,257.5055,,1.06,,16.9233,125.63,,,
652,8/24/2001,32.5,20.35,2162.7786,17.5282,4.817,35.1068,44.9244,17.1201,26.877,,28.75,16.8,,,260.395,45.0832,92.5479,,,,,6.6776,28.75,8.88,,10.639,,17.7924,16.6667,38.3292,11.1316,,40.3642,69.5684,38.15,55.1,4.817,,43.14,,21.12,260.395,,1.075,,17.5282,128.19,,,
653,8/27/2001,32.75,19.86,2187.7819,17.5563,4.791,34.4597,44.7369,17.0342,26.7229,,27.9,16.845,,,255.9757,45.534,93.8087,,,,,6.6776,27.9,9.0514,,10.5888,,18.1055,16.6667,38.2931,11.1208,,40.3642,69.9465,38.35,55.467,4.791,,43.69,,20.81,255.9757,,1.18,,17.5563,128,,,
