date,JMAT LN Equity,MCRO LN Equity,JMAT LN Equity.1,AL/ LN Equity,LMI LN Equity,POLY LN Equity,COB LN Equity,BLND LN Equity,CPG LN Equity,FXPO LN Equity,AGK LN Equity,WG/ LN Equity,KGF LN Equity,HL/ LN Equity,CNE LN Equity,LSEG LN Equity,WMH LN Equity,1655637D LN Equity,DRX LN Equity,ATST LN Equity,BBY LN Equity,FCIT LN Equity,PNN LN Equity,MERL LN Equity,FRES LN Equity,CW/ LN Equity,CNA LN Equity,539988Q LN Equity,BI/ LN Equity,ISYS LN Equity,III LN Equity,PSN LN Equity,HIK LN Equity,AU/ LN Equity,WEIR LN Equity,ESSR LN Equity,IAP LN Equity,EMG LN Equity,SRP LN Equity,ADN LN Equity,SEM LN Equity,INTU LN Equity,IDS LN Equity,SPT LN Equity,THUS LN Equity,ENRC LN Equity,VED LN Equity,CRDA LN Equity,HAS LN Equity,TUI LN Equity,MRO LN Equity,WTB LN Equity,EVR LN Equity,1837977D LN Equity,TATE LN Equity,PFC LN Equity,BKG LN Equity,MGGT LN Equity,MRW LN Equity,SCTN LN Equity,FRAS LN Equity,CURY LN Equity,BET LN Equity,SDR LN Equity,8179618Q LN Equity,CPI LN Equity,SDR LN Equity.1,8179618Q LN Equity.1,CPI LN Equity.1,FTSE ALL SHARES
11/13/2007,2298103,107538.0,,4228092.0,438882.0,,6200066.0,6445002,6755752.0,549998.0,1478228.0,1939444.0,14295835,995679.0,908299,1708909.0,4482498.0,2958729.0,3734890.0,591694,1481331,648323,834466,,,,23309694,,,10475858.0,4492302,2680258,347580.0,1525426.0,1315539,,5015202.0,8864031,3308557,3817537.0,,2396887.0,,2179179,526029.0,,3775699.0,1006059.0,7315547,,110552.0,1340889,,8559710.0,3044295,1022637.0,489186,4326371.0,26839261.0,5058963.0,898292.0,,,3331631,15616994.0,9115154,,,,
11/14/2007,1196949,195602.0,,11460417.0,306444.0,,9031339.0,9400132,10513405.0,640807.0,1155848.0,1654055.0,15444728,966267.0,805865,832320.0,5295602.0,2800050.0,3565286.0,924716,5751546,701625,1487295,,,,24907749,,,10504342.0,2707143,3485653,376072.0,1080550.0,752192,,2572364.0,8717869,1922523,3099328.0,,2609987.0,,3132233,317051.0,,3102959.0,427537.0,7811047,,146153.0,2077082,,7032981.0,3620197,1009396.0,637741,4765415.0,19125823.0,6911667.0,1183792.0,,,3832137,13056961.0,8899733,,,,
11/15/2007,1238281,493511.0,,10133484.0,239626.0,,4106715.0,6761925,14825283.0,450742.0,1295667.0,2147515.0,23802453,1189792.0,738386,1139869.0,6908105.0,4198729.0,3222675.0,761490,2332244,816152,1161465,,,,21132143,,,6924182.0,3303371,2534298,515240.0,1086810.0,1371278,,2801168.0,5925982,3550655,4485419.0,,2986268.0,,3607368,210499.0,,3863035.0,429554.0,10953776,,145178.0,3324935,,6920812.0,5119103,2054677.0,563012,3273102.0,12966317.0,24477248.0,3030419.0,,,6041355,8892943.0,7678325,,,,
11/16/2007,1348301,294717.0,,14262560.0,259454.0,,5974330.0,12283722,22531802.0,85925.0,1691092.0,2148670.0,26191504,4285945.0,608012,1554507.0,6798728.0,4151852.0,2488441.0,686747,2846208,1206496,1549159,,,,24827456,,,5348857.0,5383046,3319155,608183.0,1238582.0,1763679,,2349095.0,8336399,3483395,6440033.0,,3434274.0,,1564501,448612.0,,4273689.0,627660.0,9756364,,97410.0,3007248,,6966739.0,3009859,942888.0,290055,3161728.0,19164626.0,10444709.0,1441283.0,,,9135444,15925033.0,10382650,,,,
11/19/2007,2033214,198610.0,,13419417.0,352390.0,,7039726.0,14847601,11185115.0,1076807.0,1565367.0,1402513.0,32314440,2615697.0,718026,1448617.0,6935904.0,2818087.0,3318482.0,1157676,3160942,1588772,1716692,,,,19975301,,,6668437.0,4937671,4003442,699744.0,1589585.0,1561221,,3871946.0,14793675,2752489,5814286.0,,4724793.0,,1964430,283399.0,,3659148.0,936123.0,12159933,,235110.0,3986966,,8806116.0,2586312,1008812.0,328341,2877641.0,16236934.0,11393157.0,4312026.0,,,15363576,14548108.0,7452917,,,,
11/20/2007,1080258,367081.0,,10611675.0,382642.0,,5982411.0,13275579,11906377.0,1473210.0,1180602.0,2504601.0,27618591,3153124.0,869801,2032389.0,6174627.0,3993720.0,3527851.0,1482924,3497519,1424161,1524401,,,,22275994,,,4737750.0,17023690,4705113,452435.0,1921356.0,1429352,,10731735.0,13203098,3114909,5690627.0,,6135379.0,,2377406,387521.0,,2717785.0,636868.0,9227916,,313311.0,3421622,,10038525.0,2487112,980199.0,484461,4802468.0,18682073.0,20511447.0,13472519.0,,,8942785,12366735.0,6974481,,,,
11/21/2007,1472560,225817.0,,10264919.0,292984.0,,6259744.0,10978174,11648643.0,553214.0,1166957.0,2390767.0,26813354,1080536.0,785386,3305772.0,9540650.0,3754299.0,3421292.0,1134031,2787482,1296360,1333346,,,,27769364,,,5888878.0,6559653,3695458,815975.0,1751973.0,1690021,,5969728.0,14757924,4258758,2895110.0,,3391285.0,,3349578,341759.0,,3648748.0,984448.0,13327329,,656149.0,2569679,,8150078.0,3456278,792463.0,1017239,8654775.0,20865465.0,12089152.0,13514088.0,,,8031426,9607885.0,5154657,,,,
11/22/2007,1442042,116460.0,,5469095.0,196881.0,,4087939.0,9263860,6861032.0,5480077.0,843059.0,1698398.0,14780168,2106871.0,723678,939031.0,4501027.0,2804291.0,4166022.0,599632,1874765,864428,3514891,,,,19717738,,,4944430.0,2963688,2666152,391384.0,968474.0,1086677,,2191493.0,12916406,4015685,2335373.0,,2867636.0,,2082706,130377.0,,4683114.0,528978.0,7111644,,100182.0,1753830,,7438349.0,2650824,327741.0,613674,3529926.0,41268077.0,9267253.0,10232397.0,,,5511843,9054188.0,7118456,,,,
11/23/2007,1002930,184924.0,,9783528.0,288790.0,,4639492.0,11926995,8533512.0,401063.0,1265402.0,1332962.0,13799726,854397.0,1159826,917846.0,5304974.0,3945808.0,1715189.0,571810,1696895,654483,3766281,,,,21748654,,,3878354.0,3929510,3394530,361780.0,985535.0,896409,,3829194.0,7446077,3319527,3335671.0,,2060935.0,,915746,193008.0,,6398164.0,455813.0,9833377,,150817.0,2945177,,5757469.0,2724725,3882922.0,901286,1904811.0,29963142.0,6648095.0,13759734.0,,,4747372,11824688.0,7495228,,,,
11/26/2007,735914,216165.0,,9046628.0,304376.0,,4620363.0,12799438,8506308.0,1425633.0,1647314.0,3774144.0,15431633,700561.0,529405,687056.0,6703890.0,3261391.0,1960844.0,580106,3300389,675773,1559193,,,,18609558,,,5912261.0,4625622,2840384,371604.0,1654758.0,792077,,6845105.0,11821300,3444317,3392488.0,,3170896.0,,1730717,258205.0,,3831044.0,516817.0,13480414,,125177.0,1570765,,7912097.0,3561719,744902.0,400596,2417527.0,14422107.0,5441811.0,4636330.0,,,6559467,12577979.0,6238571,,,,
