,date,JMAT LN Equity,MCRO LN Equity,JMAT LN Equity.1,AL/ LN Equity,LMI LN Equity,POLY LN Equity,COB LN Equity,BLND LN Equity,CPG LN Equity,FXPO LN Equity,AGK LN Equity,WG/ LN Equity,KGF LN Equity,HL/ LN Equity,CNE LN Equity,LSEG LN Equity,WMH LN Equity,1655637D LN Equity,DRX LN Equity,ATST LN Equity,BBY LN Equity,FCIT LN Equity,PNN LN Equity,MERL LN Equity,FRES LN Equity,CW/ LN Equity,CNA LN Equity,539988Q LN Equity,BI/ LN Equity,ISYS LN Equity,III LN Equity,PSN LN Equity,HIK LN Equity,AU/ LN Equity,WEIR LN Equity,ESSR LN Equity,IAP LN Equity,EMG LN Equity,SRP LN Equity,ADN LN Equity,SEM LN Equity,INTU LN Equity,IDS LN Equity,SPT LN Equity,THUS LN Equity,ENRC LN Equity,VED LN Equity,CRDA LN Equity,HAS LN Equity,TUI LN Equity,MRO LN Equity,WTB LN Equity,EVR LN Equity,1837977D LN Equity,TATE LN Equity,PFC LN Equity,BKG LN Equity,MGGT LN Equity,MRW LN Equity,SCTN LN Equity,FRAS LN Equity,CURY LN Equity,BET LN Equity,SDR LN Equity,8179618Q LN Equity,CPI LN Equity,SDR LN Equity.1,8179618Q LN Equity.1,CPI LN Equity.1,FTSE ALL SHARES,,
1463,11/9/2004,1092.606,,1092.606,866.5,6361.726,,103.608,641.314,262.714,,161.594,186.107,305.25,,2196.032,413.52,321.888,155.31,,266.5,255.605,188.75,495,,,,215.217,,272.75,192.651,560.69,607.5,,146.025,304,,248,252.571,181.399,62.26,,575.927,,64.5,137.5,,362,322.802,119.75,,722.293,1067.529,,,524.125,,1200,216.583,235,415.75,,,,112.795,222.25,228.102,112.795,222.25,228.102,2344.98,,
1464,11/10/2004,1112.572,,1112.572,874.5,6471.939,,103.387,642.971,271.554,,164.577,182.571,304,,2208.007,422.806,327.127,154.254,,265.7,254.081,189,487.85,,,,213.437,,281.5,195.57,569.429,630.5,,144.171,301,,251,248.19,180.387,62.1,,576.587,,67.75,142.5,,375.5,324.659,121.25,,722.293,1063.57,,,530.833,,1197,212.945,233,419,,,,114.325,225.75,230.938,114.325,225.75,230.938,2353.31,,
1465,11/11/2004,1123.665,,1123.665,877.5,6539.291,,105.085,644.628,271.278,,168.372,181.929,306,,2236.449,422.806,330.402,153.197,,266.4,259.089,189.75,484.825,,,,213.659,,279,192.651,576.328,633.5,,144.995,300,,250,248.19,180.589,62.1,,575.597,,70,142.5,,375,323.598,127.5,,711.39,1072.807,,,539,,1196,216.155,232.25,417.5,,,,117.555,229.25,233.301,117.555,229.25,233.301,2373.04,,
1466,11/12/2004,1128.102,,1128.102,871.5,6600.52,,107.005,644.628,270.725,,168.101,181.607,304.5,,2270.879,432.639,332.039,154.782,,269,264.749,190.75,477.4,,,,214.104,,281.5,195.57,584.607,635,,145.613,295,,250.75,255.619,179.779,62.1,,571.964,,69.75,142.5,,379,323.598,125,,733.196,1067.529,,,541.625,,1193,220.436,233.25,416.5,,,,120.19,228.75,231.883,120.19,228.75,231.883,2382.83,,
1467,11/15/2004,1131.984,,1131.984,871.5,6563.783,,106.193,643.8,266.029,,169.999,180.643,305,,2255.91,432.639,333.349,155.838,,271,265.62,192,474.65,,,,212.546,,285.75,189.732,588.747,640.5,,144.171,294.25,,253.5,257.714,179.779,62.74,,574.936,,69.25,155,,375,328.903,124.25,,695.037,1066.869,,,543.083,,1200,220.864,234,416.75,,,,118.405,229.25,230.938,118.405,229.25,230.938,2387.24,,
1468,11/16/2004,1132.539,,1132.539,870,6478.062,,105.011,646.7,263.267,,169.999,177.107,303,,2237.946,428.269,334.331,154.254,,265.5,260.395,191,472.725,,,,214.104,,273,180.975,588.287,644,,142.523,298,,253,257.524,177.957,63.06,,575.266,,67.5,150,,367,333.942,123,,695.037,1062.251,,,552.417,,1200,215.513,234.5,416,,,,115.77,223.75,224.164,115.77,223.75,224.164,2371.89,,
1469,11/17/2004,1131.984,,1131.984,880.5,6545.414,,104.125,651.257,262.99,,172.982,175.821,298.75,,2248.425,421.714,339.243,157.423,,270.7,270.628,191.75,475.75,,,,217.443,,272,195.57,590.587,663.5,,141.288,295.25,,260,268.571,178.16,65.63,,573.285,,69.75,152.5,,372,344.817,123,,695.037,1063.57,,,558.833,,1208,212.731,232.75,419,,,,117.215,227.75,223.534,117.215,227.75,223.534,2384.66,,
1470,11/18/2004,1136.976,,1136.976,874,6490.307,,104.494,653.328,265.2,,174.608,176.786,298.25,,2278.364,415.158,334.986,167.724,,271.2,265.62,193,473.55,,,,219.001,,271.25,192.651,593.347,668.5,,135.933,300,,254.5,272.381,178.564,70.46,,570.973,,71.75,155,,376,342.165,124.5,,695.037,1056.313,,,561.167,,1220,214.015,227,421.75,,,,117.045,225.5,221.171,117.045,225.5,221.171,2389.01,,
1471,11/19/2004,1133.648,,1133.648,868,6361.726,,103.977,657.885,266.305,,173.524,179.036,295,,2315.788,417.617,336.296,159.8,,268.1,263.878,192.25,472.45,,,,218.778,,270,192.651,598.406,657.5,,133.461,298.25,,257.75,277.333,181.399,69.82,,568.992,,72.25,152.5,,373,348,122.25,,695.037,1053.014,,,560,,1216,211.875,224,419,,,,118.49,223.75,221.801,118.49,223.75,221.801,2370.35,,
1472,11/22/2004,1123.11,,1123.11,864,6294.374,,103.83,656.643,266.858,,171.355,180.964,294.5,,2305.309,420.348,338.588,158.48,,266.6,258.871,190.25,473.55,,,,219.446,,264.25,192.651,592.427,639,,131.402,295,,251,276.19,178.362,68.21,,568.662,,70.75,150,,370,344.287,122,,695.037,1046.416,,,564.375,,1205,212.303,224.25,417.5,,,,115.6,217.5,220.226,115.6,217.5,220.226,2355.77,,
