security_ticker,market_ticker,event_date
RS1 LN Equity,FTSE ALL SHARES,09/18/00
RS1 LN Equity,FTSE ALL SHARES,12/20/21
RSW LN Equity,FTSE ALL SHARES,03/22/21
RTO LN Equity,FTSE ALL SHARES,03/20/17
RTO LN Equity,FTSE ALL SHARES,08/22/07
RTO LN Equity,FTSE ALL SHARES,09/21/09
SCTN LN Equity,FTSE ALL SHARES,06/19/00
SCTN LN Equity,FTSE ALL SHARES,03/19/01
SDR LN Equity,FTSE ALL SHARES,03/30/07
SEM LN Equity,FTSE ALL SHARES,03/19/01
SFW LN Equity,FTSE ALL SHARES,12/18/00
SGC LN Equity,FTSE ALL SHARES,09/22/08
SGRO LN Equity,FTSE ALL SHARES,09/21/09
SGRO LN Equity,FTSE ALL SHARES,06/19/17
SGRO LN Equity,FTSE ALL SHARES,07/31/06
Shell LN equity,FTSE ALL SHARES,07/20/05
SHP LN Equity,FTSE ALL SHARES,10/26/00
SKG LN Equity,FTSE ALL SHARES,12/19/16
SMDS LN Equity,FTSE ALL SHARES,12/18/17
SMIN LN Equity,FTSE ALL SHARES,12/18/00
SMIN LN Equity,FTSE ALL SHARES,06/27/16
SMT LN Equity,FTSE ALL SHARES,03/20/17
SN/ LN Equity,FTSE ALL SHARES,07/12/01
SPT LN Equity,FTSE ALL SHARES,09/18/00
SPX LN Equity,FTSE ALL SHARES,12/24/18
SRP LN Equity,FTSE ALL SHARES,12/22/08
STJ LN Equity,FTSE ALL SHARES,03/24/14
SVT LN Equity,FTSE ALL SHARES,09/24/01
TATE LN Equity,FTSE ALL SHARES,12/20/04
TCG LN Equity,FTSE ALL SHARES,03/26/08
TCG LN Equity,FTSE ALL SHARES,12/22/08
TCG LN Equity,FTSE ALL SHARES,06/20/11
TCG LN Equity,FTSE ALL SHARES,12/24/07
TGA LN Equity,FTSE ALL SHARES,06/07/21
THUS LN Equity,FTSE ALL SHARES,03/20/00
TLW LN Equity,FTSE ALL SHARES,09/24/07
TOMK LN Equity,FTSE ALL SHARES,09/23/02
TPK LN Equity,FTSE ALL SHARES,06/24/13
TT/ LN Equity,FTSE ALL SHARES,12/24/07
TT/ LN Equity,FTSE ALL SHARES,12/24/12
TUI LN Equity,FTSE ALL SHARES,12/17/14
TW/ LN Equity,FTSE ALL SHARES,09/24/07
TW/ LN Equity,FTSE ALL SHARES,12/22/14
UTG LN Equity,FTSE ALL SHARES,06/20/22
VANQ LN Equity,FTSE ALL SHARES,12/21/15
VED LN Equity,FTSE ALL SHARES,06/19/06
WEIR LN Equity,FTSE ALL SHARES,09/20/10
WEIR LN Equity,FTSE ALL SHARES,03/22/21
WEIR LN Equity,FTSE ALL SHARES,12/19/22
WG/ LN Equity,FTSE ALL SHARES,04/28/08
WG/ LN Equity,FTSE ALL SHARES,03/21/11
WG/ LN Equity,FTSE ALL SHARES,09/24/12
WG/ LN Equity,FTSE ALL SHARES,10/12/18
WMH LN Equity,FTSE ALL SHARES,04/08/04
WPG LN Equity,FTSE ALL SHARES,12/21/15
WTB LN Equity,FTSE ALL SHARES,12/23/02
WTB LN Equity,FTSE ALL SHARES,12/18/06
WTB LN Equity,FTSE ALL SHARES,09/21/09
XTA LN Equity,FTSE ALL SHARES,06/24/02
